08.05.1972	11.5560538	48.1791237	Olympiazentrum	U3	5	ec7404		31.12.2014
08.05.1972	11.5664761	48.1759932	Petuelring	U3	6	ec7404		31.12.2014
08.05.1972	11.5730252	48.1714114	Scheidplatz	U3	7	ec7404		31.12.2014
08.05.1972	11.5727224	48.1714015	Scheidplatz	U3	7	ec7404		31.12.2014
08.05.1972	11.5728898	48.1714369	Scheidplatz	U3	7	ec7404		31.12.2014
08.05.1972	11.5785202	48.1667307	Bonner Platz	U3	8	ec7404		31.12.2014
19.10.1971	11.5865457	48.1618526	M¸nchner Freiheit	U3	9	ec7404		31.12.2014
19.10.1971	11.584103	48.156364	Giselastraﬂe	U3	10	ec7404		31.12.2014
19.10.1971	11.5812816	48.1506572	Universit‰t	U3	11	ec7404		31.12.2014
19.10.1971	11.5776629	48.142686	Odeonsplatz	U3	12	ec7404		31.12.2014
19.10.1971	11.575278	48.137222	Marienplatz	U3	13	ec7404		31.12.2014
19.10.1971	11.5667462	48.1334011	Sendlinger Tor	U3	14	ec7404		31.12.2014
19.10.1971	11.557316	48.129003	Goetheplatz	U3	15	ec7404		31.12.2014
28.05.1978	11.5501952	48.1254405	Poccistraﬂe	U3	16	ec7404		31.12.2014
22.11.1975	11.548401	48.1200748	Implerstraﬂe	U3	17	ec7404		31.12.2014
28.10.1989	11.5486844	48.1121203	Bruderm¸hlstraﬂe	U3	18	ec7404		31.12.2014
28.10.1989	11.5461192	48.1018205	Thalkirchen	U3	19	ec7404		31.12.2014
28.10.1989	11.5362206	48.0983498	Obersendling	U3	20	ec7404		31.12.2014
28.10.1989	11.5249523	48.0976248	Aidenbachstraﬂe	U3	21	ec7404		31.12.2014
28.10.1989	11.5147118	48.0972954	Machtlfinger Straﬂe	U3	22	ec7404		31.12.2014
28.10.1989	11.4992883	48.095116	Forstenrieder Allee	U3	23	ec7404		31.12.2014
01.06.1991	11.4910701	48.0910663	Basler Straﬂe	U3	24	ec7404		31.12.2014
01.06.1991	11.4802888	48.0886954	F¸rstenried West	U3	25	ec7404		31.12.2014
10.03.1984	11.5211145	48.1347925	Westendstraﬂe	U4	3	1ba77f		31.12.2014
